code,description
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_26.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=100, depth=8, learning_rate=0.05, verbose=0)
model.fit(X, y)
","Sample 26: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 100 iterations, depth 8, and learning rate 0.05."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_27.csv')
df = df.dropna(subset=['bedrooms', 'floors', 'view', 'price'])

X = df[['bedrooms', 'floors', 'view']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=4, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 27: Trains a CatBoost model on Zillow data using features ['bedrooms', 'floors', 'view'], with 200 iterations, depth 4, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_28.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=4, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 28: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 200 iterations, depth 4, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_29.csv')
df = df.dropna(subset=['zipcode', 'condition', 'price'])
df['zipcode'] = df['zipcode'].astype(str)
X = df[['zipcode', 'condition']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=8, learning_rate=0.05, verbose=0)
model.fit(X, y, cat_features=['zipcode', 'condition'])
","Sample 29: Trains a CatBoost model on Zillow data using features ['zipcode', 'condition'], with 200 iterations, depth 8, and learning rate 0.05. Handles categorical features."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_30.csv')
df = df.dropna(subset=['zipcode', 'condition', 'price'])
df['zipcode'] = df['zipcode'].astype(str)
X = df[['zipcode', 'condition']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=8, learning_rate=0.1, verbose=0)
model.fit(X, y, cat_features=['zipcode', 'condition'])
","Sample 30: Trains a CatBoost model on Zillow data using features ['zipcode', 'condition'], with 200 iterations, depth 8, and learning rate 0.1. Handles categorical features."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_31.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=50, depth=4, learning_rate=0.1, verbose=0)
model.fit(X, y)
","Sample 31: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 50 iterations, depth 4, and learning rate 0.1."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_32.csv')
df = df.dropna(subset=['sqft_basement', 'grade', 'price'])

X = df[['sqft_basement', 'grade']]
y = df['price']

model = CatBoostRegressor(iterations=50, depth=8, learning_rate=0.05, verbose=0)
model.fit(X, y)
","Sample 32: Trains a CatBoost model on Zillow data using features ['sqft_basement', 'grade'], with 50 iterations, depth 8, and learning rate 0.05."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_33.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=4, learning_rate=0.05, verbose=0)
model.fit(X, y)
","Sample 33: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 200 iterations, depth 4, and learning rate 0.05."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_34.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=8, learning_rate=0.15, verbose=0)
model.fit(X, y)
","Sample 34: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 200 iterations, depth 8, and learning rate 0.15."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_35.csv')
df = df.dropna(subset=['sqft_living', 'sqft_lot', 'price'])

X = df[['sqft_living', 'sqft_lot']]
y = df['price']

model = CatBoostRegressor(iterations=200, depth=8, learning_rate=0.05, verbose=0)
model.fit(X, y)
","Sample 35: Trains a CatBoost model on Zillow data using features ['sqft_living', 'sqft_lot'], with 200 iterations, depth 8, and learning rate 0.05."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_36.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=100, depth=4, learning_rate=0.05, verbose=0)
model.fit(X, y)
","Sample 36: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 100 iterations, depth 4, and learning rate 0.05."
"import pandas as pd
from catboost import CatBoostRegressor

df = pd.read_csv('zillow_sample_37.csv')
df = df.dropna(subset=['bedrooms', 'bathrooms', 'price'])

X = df[['bedrooms', 'bathrooms']]
y = df['price']

model = CatBoostRegressor(iterations=100, depth=8, learning_rate=0.05, verbose=0)
model.fit(X, y)
","Sample 37: Trains a CatBoost model on Zillow data using features ['bedrooms', 'bathrooms'], with 100 iterations, depth 8, and learning rate 0.05."
